,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
55,0.117,https://api.spotify.com/v1/audio-analysis/4f9fwRXOdxxqFu8pgyLNSS,0.845,222367.0,0.745,4f9fwRXOdxxqFu8pgyLNSS,0.0,11.0,0.403,-7.339,1.0,0.255,100.08,medium_term,4.0,https://api.spotify.com/v1/tracks/4f9fwRXOdxxqFu8pgyLNSS,audio_features,spotify:track:4f9fwRXOdxxqFu8pgyLNSS,0.796
56,0.169,https://api.spotify.com/v1/audio-analysis/5jJiLM2kRsGKG8zUWFIQgk,0.908,211547.0,0.675,5jJiLM2kRsGKG8zUWFIQgk,0.0603,5.0,0.0541,-6.122,0.0,0.0507,120.071,medium_term,4.0,https://api.spotify.com/v1/tracks/5jJiLM2kRsGKG8zUWFIQgk,audio_features,spotify:track:5jJiLM2kRsGKG8zUWFIQgk,0.781
57,0.00254,https://api.spotify.com/v1/audio-analysis/2AK0dqael9a4phiB97QXO5,0.854,349000.0,0.713,2AK0dqael9a4phiB97QXO5,0.522,0.0,0.86,-7.262,1.0,0.135,119.985,medium_term,4.0,https://api.spotify.com/v1/tracks/2AK0dqael9a4phiB97QXO5,audio_features,spotify:track:2AK0dqael9a4phiB97QXO5,0.266
58,0.608,https://api.spotify.com/v1/audio-analysis/2Trm9giqQQUQMr1mOoCzaT,0.797,220944.0,0.582,2Trm9giqQQUQMr1mOoCzaT,2.66e-05,7.0,0.109,-10.71,0.0,0.167,113.005,medium_term,4.0,https://api.spotify.com/v1/tracks/2Trm9giqQQUQMr1mOoCzaT,audio_features,spotify:track:2Trm9giqQQUQMr1mOoCzaT,0.194
59,0.0938,https://api.spotify.com/v1/audio-analysis/6ncNLU982iaD9WFb2gTwKd,0.72,189091.0,0.681,6ncNLU982iaD9WFb2gTwKd,0.0161,0.0,0.109,-8.962,1.0,0.0469,99.002,medium_term,4.0,https://api.spotify.com/v1/tracks/6ncNLU982iaD9WFb2gTwKd,audio_features,spotify:track:6ncNLU982iaD9WFb2gTwKd,0.424
60,0.316,https://api.spotify.com/v1/audio-analysis/0rufHvzVQmCDpjf3qWLtC3,0.689,245585.0,0.425,0rufHvzVQmCDpjf3qWLtC3,0.0,8.0,0.122,-7.23,1.0,0.314,93.95,medium_term,4.0,https://api.spotify.com/v1/tracks/0rufHvzVQmCDpjf3qWLtC3,audio_features,spotify:track:0rufHvzVQmCDpjf3qWLtC3,0.371
61,0.602,https://api.spotify.com/v1/audio-analysis/5R9PGnxgL2lWLemODWk6B5,0.698,227892.0,0.465,5R9PGnxgL2lWLemODWk6B5,1.63e-05,9.0,0.107,-10.676,1.0,0.0615,108.187,medium_term,4.0,https://api.spotify.com/v1/tracks/5R9PGnxgL2lWLemODWk6B5,audio_features,spotify:track:5R9PGnxgL2lWLemODWk6B5,0.219
62,0.96,https://api.spotify.com/v1/audio-analysis/3N0rmQXgEE27WwYZoEJCHN,0.306,48032.0,0.0684,3N0rmQXgEE27WwYZoEJCHN,0.0814,1.0,0.186,-10.286,1.0,0.0289,44.226,medium_term,4.0,https://api.spotify.com/v1/tracks/3N0rmQXgEE27WwYZoEJCHN,audio_features,spotify:track:3N0rmQXgEE27WwYZoEJCHN,0.223
63,0.758,https://api.spotify.com/v1/audio-analysis/2hhVlIZmGEGfNeVIYnMUAG,0.779,208947.0,0.605,2hhVlIZmGEGfNeVIYnMUAG,0.665,5.0,0.0918,-7.294,0.0,0.0315,126.031,medium_term,4.0,https://api.spotify.com/v1/tracks/2hhVlIZmGEGfNeVIYnMUAG,audio_features,spotify:track:2hhVlIZmGEGfNeVIYnMUAG,0.735
64,0.819,https://api.spotify.com/v1/audio-analysis/6jPrYIiQxtqRVAKlwhuXSg,0.82,229500.0,0.273,6jPrYIiQxtqRVAKlwhuXSg,0.166,0.0,0.0965,-10.384,0.0,0.0561,107.016,medium_term,4.0,https://api.spotify.com/v1/tracks/6jPrYIiQxtqRVAKlwhuXSg,audio_features,spotify:track:6jPrYIiQxtqRVAKlwhuXSg,0.478
65,0.947,https://api.spotify.com/v1/audio-analysis/3gBtlTZ64dwySWbvwYgHb5,0.24,273912.0,0.208,3gBtlTZ64dwySWbvwYgHb5,0.967,9.0,0.32,-10.386,1.0,0.0338,58.216,medium_term,4.0,https://api.spotify.com/v1/tracks/3gBtlTZ64dwySWbvwYgHb5,audio_features,spotify:track:3gBtlTZ64dwySWbvwYgHb5,0.191
66,0.168,https://api.spotify.com/v1/audio-analysis/3AQLL3Waks6LJ9FI8TFHGA,0.686,243147.0,0.735,3AQLL3Waks6LJ9FI8TFHGA,8.88e-05,8.0,0.44,-7.063,1.0,0.0332,110.577,medium_term,4.0,https://api.spotify.com/v1/tracks/3AQLL3Waks6LJ9FI8TFHGA,audio_features,spotify:track:3AQLL3Waks6LJ9FI8TFHGA,0.483
67,0.00326,https://api.spotify.com/v1/audio-analysis/61OMeme3atDikStS4QxGIE,0.352,437160.0,0.604,61OMeme3atDikStS4QxGIE,0.00213,4.0,0.208,-12.634,0.0,0.04,202.932,medium_term,4.0,https://api.spotify.com/v1/tracks/61OMeme3atDikStS4QxGIE,audio_features,spotify:track:61OMeme3atDikStS4QxGIE,0.465
